"Unit of distance","Unit of distance"
"Unit to measure distance between store and customer","Unit to measure distance between store and customer"
"Update Total","Update Total"
"Upload image size: 350x250","Upload image size: 350x250"
"Use Default","Use Default"
"Use Google Map API to calculate distance between stores and customers' address","Use Google Map API to calculate distance between stores and customers' address"
"Verification","Verification"
"View Details","View Details"
"View list of all stores","View list of all stores"
"View the list of all stores","View the list of all stores"
"Waiting ...","Waiting ..."
"Wed:","Wed:"
"Wednesday","Wednesday"
"Working Time","Working Time"
"Working Time:","Working Time:"
"XML","XML"
"Yes","Yes"
"You need to insert From Date","You need to insert From Date"
"You need to insert data into From Date","You need to insert data into From Date"
"Zip Code","Zip Code"
"Zip/Postal Code","Zip/Postal Code"
"Zipcode","Zipcode"
"Zoom Level","Zoom Level"
"used for customers to contact your store","used for customers to contact your store"
"Exit Full Screen","Exit Full Screen"
"Full Screen","Full Screen"
"Store not found !","Store not found !"
"Error: The Geolocation service failed.","Error: The Geolocation service failed."
"Error: Your browser does not support geolocation.","Error: Your browser does not support geolocation."
"At least one of the origin, destination, or waypoints could not be geocoded.","At least one of the origin, destination, or waypoints could not be geocoded."
"The webpage has gone over the requests limit in too short a period of time.","The webpage has gone over the requests limit in too short a period of time."
"The webpage is not allowed to use the directions service.","The webpage is not allowed to use the directions service."
"A directions request could not be processed due to a server error. The request may succeed if you try again.","A directions request could not be processed due to a server error. The request may succeed if you try again."
"No route could be found between the origin and destination.","No route could be found between the origin and destination."
"The webpage is not allowed to use the directions service.","The webpage is not allowed to use the directions service."
"Please choose...","Please choose..."
"Number of stores found :","Number of stores found :"
"Later","Later"
"Earlier","Earlier"
"Su","Su"
"Mo","Mo"
"Tu","Tu"
"We","We"
"Th","Th"
"Fr","Fr"
"Sa","Sa"
"January","January"
"February","February"
"March","March"
"April","April"
"June","June"
"July","July"
"August","August"
"September","September"
"October","October"
"November","November"
"December","December"
"Jan","Jan"
"Feb","Feb"
"Mar","Mar"
"Apr","Apr"
"May","May"
"Jun","Jun"
"Jul","Jul"
"Aug","Aug"
"Sep","Sep"
"Oct","Oct"
"Nov","Nov"
"Dec","Dec"
"Search by distance","Search by distance"
"Search by area","Search by area"
"Search by date","Search by date"
"Enter place...","Enter place..."
"Max value","Max value"
"Show My Location","Show My Location"
"Explore","Explore"
"Show and Hide store list","Show and Hide store list"
"Zoom In","Zoom In"
"Zoom Out","Zoom Out"
"Loading","Loading"
